Name,Email,Phone Number,"Origin (City, State)",Website URL,Category,Verified Status
B J's Puss N Boots,,(423) 698-6124,"Chattanooga, TN",,Night Clubs,CLAIMED
Global Brew Tap House,,(630) 549-0397,"St. Charles, IL",https://globalbrew.com/,Bars and Lounges,CLAIMED
Black Mountain Grill,,7029900990,"Henderson, NV",https://blackmountaingrill.com/,Grills (Eating Places),CLAIMED
Bar 101 Eats & Drinks,,9167740505,"Roseville, CA",https://bar101.com/,Bars,CLAIMED
Backyard BBQ,,5013536844,"Gilbert, AZ",,Barbecue,CLAIMED
Star Pizza Family Restaurant,,2033869243,"Stratford, CT",https://starpizza.com/,undefined,CLAIMED
Amigo Mexican Restaurant,,423-952-0551,"Johnson City, TN",https://amigomexican.com/,undefined,CLAIMED
Gillum's Sports Lounge,,8596232335,"Richmond, KY",https://gillums.com/,Bars and Lounges,CLAIMED
Woodstone Deli,,4232459663,"Kingsport, TN",https://woodstonedeli.com/,Delicatessens,CLAIMED
Rocky's Pizza,,(810) 655-4242,"Swartz Creek, MI",https://rockyspizza.com/,undefined,CLAIMED
Jerry's Texas Smokehouse Bbq,,8012252276,"Orem, UT",https://jerrystexas.com/,Caterers,CLAIMED
Ventana Grill,,8,,,,
